name,id,examine,members,lowalch,item_limit,value,highalch,icon
Adamant arrowtips,43,I can make some arrows with these.,t,16,10000,40,24,Adamant arrowtips.png
Adamant axe,1357,A powerful axe.,f,512,40,1280,768,Adamant axe.png
Adamant battleaxe,1371,A vicious looking axe.,f,1664,125,4160,2496,Adamant battleaxe.png
Adamant bolts,9143,Adamantite crossbow bolts.,t,23,11000,58,34,Adamant bolts 5.png
Adamant bolts (p),9290,Some poisoned adamantite bolts.,t,23,11000,58,34,Adamant bolts (p) 5.png
Adamant bolts (p+),9297,Some poisoned adamantite bolts.,t,23,11000,58,34,Adamant bolts (p+) 5.png
Adamant bolts (p++),9304,Super poisoned adamantite bolts.,t,23,11000,58,34,Adamant bolts (p++) 5.png
Adamant bolts(unf),9380,Unfeathered adamantite crossbow bolts.,t,1,13000,1,1,Adamant bolts(unf) 5.png
Adamant boots,4129,These will protect my feet.,t,768,125,1920,1152,Adamant boots.png
Adamant brutal,4798,Blunt adamantite arrow... ouch.,t,38,11000,95,57,Adamant brutal 5.png
Adamant cane,12377,A diamond topped cane.,t,576,4,1440,864,Adamant cane.png
Adamant chainbody,1111,A series of connected metal rings.,f,1920,125,4800,2880,Adamant chainbody.png
Adamant claws,3100,A set of fighting claws.,t,480,125,1200,720,Adamant claws.png
Adamant crossbow,9183,An adamantite crossbow.,t,706,70,1767,1060,Adamant crossbow.png
Adamant crossbow (u),9463,An unstrung adamantite crossbow.,t,693,10000,1733,1039,Adamant crossbow (u).png
Cave eel,5003,It's a bit slimy.,t,6,10000,15,9,Cave eel.png
Adamant dagger,1211,Short and deadly.,f,320,125,800,480,Adamant dagger.png
Easter egg,1961,Happy Easter.,f,4,50,10,6,Easter egg.png
Adamant dagger(p),1227,A very dangerous poisoned dagger.,t,320,125,800,480,Adamant dagger(p).png
Adamant dagger(p+),5676,A very dangerous poisoned dagger.,t,320,125,800,480,Adamant dagger(p+).png
Adamant dagger(p++),5694,A very dangerous poisoned dagger.,t,320,125,800,480,Adamant dagger(p++).png
Adamant dart,810,A deadly throwing dart with an adamant tip.,t,26,11000,65,39,Adamant dart.png
Adamant dart tip,823,A deadly-looking dart tip made of adamant - needs feathers for flight.,t,14,20000,36,21,Adamant dart tip.png
Adamant dart(p),816,A deadly poisoned dart with an adamant tip.,t,26,11000,65,39,Adamant dart(p).png
Adamant dart(p+),5633,A deadly poisoned dart with an adamant tip.,t,26,11000,65,39,Adamant dart(p+).png
Adamant dart(p++),5640,A deadly poisoned dart with an adamant tip.,t,26,11000,65,39,Adamant dart(p++).png
Adamant dragon mask,23270,Do I look scary?,t,4000,4,10000,6000,Adamant dragon mask.png
Adamant felling axe,28211,A woodcutter's axe.,t,512,,1280,768,Adamant felling axe.png
Adamant full helm,1161,A full face helmet.,f,1408,125,3520,2112,Adamant full helm.png
Adamant full helm (g),2613,Adamant full helmet with gold trim.,f,1408,8,3520,2112,Adamant full helm (g).png
Adamant full helm (t),2605,Adamant full helmet with trim.,f,1408,8,3520,2112,Adamant full helm (t).png
Adamant gold-trimmed set (lg),13020,"A set containing a full helm, platebody, legs and kiteshield.",f,3200,8,8000,4800,Adamant gold-trimmed set (lg).png
Adamant gold-trimmed set (sk),13022,"A set containing a full helm, platebody, skirt and kiteshield.",f,3200,8,8000,4800,Adamant gold-trimmed set (sk).png
Adamant halberd,3200,An adamant halberd.,t,2560,125,6400,3840,Adamant halberd.png
Adamant hasta,11375,"An adamant-tipped, one-handed hasta.",t,832,125,2080,1248,Adamant hasta.png
Adamant hasta(p),11407,"A poison-tipped, one-handed adamantite hasta.",t,832,125,2080,1248,Adamant hasta(p).png
Adamant hasta(p+),11410,"A poison-tipped, one-handed adamantite hasta.",t,832,125,2080,1248,Adamant hasta(p+).png
Adamant hasta(p++),11412,"A poison-tipped, one-handed adamantite hasta.",t,832,125,2080,1248,Adamant hasta(p++).png
Adamant helm (h1),10296,An adamant helmet with a heraldic design.,f,1408,70,3520,2112,Adamant helm (h1).png
Adamant helm (h2),10298,An adamant helmet with a heraldic design.,f,1408,70,3520,2112,Adamant helm (h2).png
Adamant helm (h3),10300,An adamant helmet with a heraldic design.,f,1408,70,3520,2112,Adamant helm (h3).png
Adamant helm (h4),10302,An adamant helmet with a heraldic design.,f,1408,70,3520,2112,Adamant helm (h4).png
Adamant helm (h5),10304,An adamant helmet with a heraldic design.,f,1408,70,3520,2112,Adamant helm (h5).png
Adamant javelin,829,An adamant tipped javelin.,t,64,11000,160,96,Adamant javelin.png
Adamant javelin heads,19578,Needs a shaft.,t,176,10000,440,264,Adamant javelin heads 5.png
Adamant javelin(p),835,An adamant tipped javelin.,t,64,11000,160,96,Adamant javelin(p).png
Adamant javelin(p+),5646,An adamant tipped javelin.,t,64,11000,160,96,Adamant javelin(p+).png
Adamant javelin(p++),5652,An adamant tipped javelin.,t,64,11000,160,96,Adamant javelin(p++).png
Adamant kiteshield,1199,A large metal shield.,f,2176,125,5440,3264,Adamant kiteshield.png
Adamant kiteshield (g),2611,Adamant kiteshield with gold trim.,f,2176,8,5440,3264,Adamant kiteshield (g).png
Adamant kiteshield (t),2603,Adamant kiteshield with trim.,f,2176,8,5440,3264,Adamant kiteshield (t).png
Adamant knife,867,A finely balanced throwing knife.,t,26,11000,66,39,Adamant knife.png
Adamant knife(p),875,A finely balanced throwing knife.,t,26,11000,66,39,Adamant knife(p).png
Adamant knife(p+),5659,A finely balanced throwing knife.,t,26,7000,66,39,Adamant knife(p+).png
Adamant knife(p++),5666,A finely balanced throwing knife.,t,26,7000,66,39,Adamant knife(p++).png
Adamant longsword,1301,A razor sharp longsword.,f,1280,125,3200,1920,Adamant longsword.png
Adamant mace,1430,A spiky mace.,f,576,125,1440,864,Adamant mace.png
Adamant med helm,1145,A medium sized helmet.,f,768,125,1920,1152,Adamant med helm.png
Adamant pickaxe,1271,Used for mining.,f,1280,40,3200,1920,Adamant pickaxe.png
Adamant platebody,1123,Provides excellent protection.,f,6656,125,16640,9984,Adamant platebody.png
Adamant platebody (g),2607,Adamant platebody with gold trim.,f,6656,8,16640,9984,Adamant platebody (g).png
Adamant platebody (h1),23392,Adamant platebody with a heraldic design.,f,6656,8,16640,9984,Adamant platebody (h1).png
Adamant platebody (h2),23395,Adamant platebody with a heraldic design.,f,6656,8,16640,9984,Adamant platebody (h2).png
Adamant platebody (h3),23398,Adamant platebody with a heraldic design.,f,6656,8,16640,9984,Adamant platebody (h3).png
Adamant platebody (h4),23401,Adamant platebody with a heraldic design.,f,6656,8,16640,9984,Adamant platebody (h4).png
Adamant platebody (h5),23404,Adamant platebody with a heraldic design.,f,6656,8,16640,9984,Adamant platebody (h5).png
Adamant platebody (t),2599,Adamant platebody with trim.,f,6656,8,16640,9984,Adamant platebody (t).png
Adamant platelegs,1073,These look pretty heavy.,f,2560,125,6400,3840,Adamant platelegs.png
Adamant platelegs (g),2609,Adamant platelegs with gold trim.,f,2560,8,6400,3840,Adamant platelegs (g).png
Adamant platelegs (t),2601,Adamant platelegs with trim.,f,2560,8,6400,3840,Adamant platelegs (t).png
Adamant plateskirt,1091,Designer leg protection.,f,2560,125,6400,3840,Adamant plateskirt.png
Adamant plateskirt (g),3475,Adamant plateskirt with gold trim.,f,2560,8,6400,3840,Adamant plateskirt (g).png
Adamant plateskirt (t),3474,Adamant plateskirt with trim.,f,2560,8,6400,3840,Adamant plateskirt (t).png
Adamant scimitar,1331,"A vicious, curved sword.",f,1024,125,2560,1536,Adamant scimitar.png
Adamant seeds,29458,Magical seeds in an adamant case.,t,1,,1,1,Adamant seeds.png
Adamant set (lg),13012,"A set containing a full helm, platebody, legs and kiteshield.",f,3200,8,8000,4800,Adamant set (lg).png
Adamant set (sk),13014,"A set containing a full helm, platebody, skirt and kiteshield.",f,3200,8,8000,4800,Adamant set (sk).png
Adamant shield (h1),7334,A shield with a heraldic design,f,2176,70,5440,3264,Adamant shield (h1).png
Adamant shield (h2),7340,A shield with a heraldic design,f,2176,70,5440,3264,Adamant shield (h2).png
Iron pickaxe,1267,Used for mining.,f,56,40,140,84,Iron pickaxe.png
Adamant shield (h3),7346,A shield with a heraldic design,f,2176,70,5440,3264,Adamant shield (h3).png
Adamant shield (h4),7352,A shield with a heraldic design,f,2176,70,5440,3264,Adamant shield (h4).png
Adamant shield (h5),7358,A shield with a heraldic design,f,2176,70,5440,3264,Adamant shield (h5).png
Adamant spear,1245,An adamantite tipped spear.,t,832,125,2080,1248,Adamant spear.png
Adamant spear(p),1259,A poisoned adamantite tipped spear.,t,832,125,2080,1248,Adamant spear(p).png
Adamant spear(p+),5712,A poisoned adamantite tipped spear.,t,832,125,2080,1248,Adamant spear(p+).png
Adamant spear(p++),5726,A poisoned adamantite tipped spear.,t,832,125,2080,1248,Adamant spear(p++).png
Adamant sq shield,1183,A medium square shield.,f,1536,125,3840,2304,Adamant sq shield.png
Adamant sword,1287,A razor sharp sword.,f,832,125,2080,1248,Adamant sword.png
Adamant thrownaxe,804,A finely balanced throwing axe.,t,70,11000,176,105,Adamant thrownaxe.png
Adamant trimmed set (lg),13016,"A set containing a full helm, platebody, legs and kiteshield.",f,3200,8,8000,4800,Adamant trimmed set (lg).png
Adamant trimmed set (sk),13018,"A set containing a full helm, platebody, skirt and kiteshield.",f,3200,8,8000,4800,Adamant trimmed set (sk).png
Adamant warhammer,1345,I don't think it's intended for joinery.,f,1648,125,4120,2472,Adamant warhammer.png
Adamantite bar,2361,It's a bar of adamantite.,f,256,10000,640,384,Adamantite bar.png
Adamantite limbs,9429,A pair of adamantite crossbow limbs.,t,640,10000,1600,960,Adamantite limbs.png
Adamantite nails,4823,Keeps things in place fairly permanently.,t,18,13000,45,27,Adamantite nails.png
Adamantite ore,449,This needs refining.,f,160,4500,400,240,Adamantite ore.png
Admiral pie,7198,Much tastier than a normal fish pie.,t,124,10000,310,186,Admiral pie.png
Afro,12430,Wild!,t,273,4,684,410,Afro.png
Agility mix(1),11463,One dose of fishy Agility potion.,t,20,2000,50,30,Agility mix(1).png
Agility mix(2),11461,Two doses of fishy Agility potion.,t,40,2000,100,60,Agility mix(2).png
Agility potion(1),3038,1 dose of Agility potion.,t,20,2000,50,30,Agility potion(1).png
Agility potion(2),3036,2 doses of Agility potion.,t,40,2000,100,60,Agility potion(2).png
Agility potion(3),3034,3 doses of Agility potion.,t,60,2000,150,90,Agility potion(3).png
Agility potion(4),3032,4 doses of Agility potion.,t,80,2000,200,120,Agility potion(4).png
Ahrim's armour set,12881,"A set containing an Ahrim''s hood, robetop, robeskirt and staff.",t,80000,8,200000,120000,Ahrim's armour set.png
Ahrim's hood,4708,Ahrim the Blighted's leather hood.,t,5200,15,13000,7800,Ahrim's hood.png
Ahrim's hood 0,4860,Ahrim the Blighted's leather hood.,t,5200,15,13000,7800,Ahrim's hood 0.png
Ahrim's robeskirt,4714,Ahrim the Blighted's armoured robe skirt.,t,18800,15,47000,28200,Ahrim's robeskirt.png
Ahrim's robeskirt 0,4878,Ahrim the Blighted's armoured robe skirt.,t,18800,15,47000,28200,Ahrim's robeskirt 0.png
Ahrim's robetop,4712,Ahrim the Blighted's armoured robe top.,t,20000,15,50000,30000,Ahrim's robetop.png
Ahrim's robetop 0,4872,Ahrim the Blighted's armoured robe top.,t,20000,15,50000,30000,Ahrim's robetop 0.png
Ahrim's staff,4710,Ahrim the Blighted's quarterstaff.,t,34000,15,85000,51000,Ahrim's staff.png
Ahrim's staff 0,4866,Ahrim the Blighted's quarterstaff.,t,34000,15,85000,51000,Ahrim's staff 0.png
Air battlestaff,1397,It's a slightly magical stick.,t,6200,18000,15500,9300,Air battlestaff.png
Air orb,573,A magic glowing orb.,t,120,11000,300,180,Air orb.png
Air rune,556,One of the 4 basic elemental Runes.,f,1,50000,4,2,Air rune.png
Air talisman,1438,A mysterious power emanates from the talisman...,f,1,11000,4,2,Air talisman.png
Air tiara,5527,A tiara infused with the properties of air.,f,40,40,100,60,Air tiara.png
Airtight pot,4436,This is pretty well sealed.,t,4,15,10,6,Airtight pot.png
Ale of the gods,20056,Ale of the gods.,t,340,4,850,510,Ale of the gods.png
Ale yeast,5767,A pot filled with ale yeast.,t,1,11000,1,1,Ale yeast.png
Amethyst,21347,Maybe I can make something with this.,t,1560,13000,3900,2340,Amethyst.png
Amethyst arrow,21326,Arrows with amethyst heads.,t,196,11000,490,294,Amethyst arrow 5.png
Amethyst arrow(p),21332,Venomous-looking arrows.,t,196,11000,490,294,Amethyst arrow(p) 5.png
Amethyst arrow(p+),21334,Venomous-looking arrows.,t,196,11000,490,294,Amethyst arrow(p+) 5.png
Amethyst arrow(p++),21336,Venomous-looking arrows.,t,196,11000,490,294,Amethyst arrow(p++) 5.png
Amethyst arrowtips,21350,I can make some arrows with these.,t,98,10000,245,147,Amethyst arrowtips.png
Amethyst bolt tips,21338,Amethyst bolt tips.,t,64,11000,160,96,Amethyst bolt tips 5.png
Amethyst broad bolts,21316,Crossbow bolts with amethyst broad tips.,t,96,11000,240,144,Amethyst broad bolts 5.png
Amethyst dart,25849,A deadly throwing dart with an amethyst tip.,t,160,11000,400,240,Amethyst dart.png
Amethyst dart tip,25853,A deadly-looking dart tip made of amethyst - needs feathers for flight.,t,80,11000,200,120,Amethyst dart tip.png
Amethyst dart(p),25851,A deadly throwing dart with an amethyst tip.,t,160,11000,400,240,Amethyst dart(p).png
Amethyst dart(p+),25855,A deadly throwing dart with an amethyst tip.,t,160,11000,400,240,Amethyst dart(p+).png
Amethyst dart(p++),25857,A deadly throwing dart with an amethyst tip.,t,160,11000,400,240,Amethyst dart(p++).png
Amethyst javelin,21318,An amethyst tipped javelin.,t,168,11000,420,252,Amethyst javelin.png
Amethyst javelin heads,21352,Needs a shaft.,t,608,10000,1520,912,Amethyst javelin heads 5.png
Amethyst javelin(p),21320,An amethyst tipped javelin.,t,168,7000,420,252,Amethyst javelin(p).png
Amethyst javelin(p+),21322,An amethyst tipped javelin.,t,168,7000,420,252,Amethyst javelin(p+).png
Amethyst javelin(p++),21324,An amethyst tipped javelin.,t,168,7000,420,252,Amethyst javelin(p++).png
Opal,1609,A semi precious stone.,t,40,13000,100,60,Opal.png
Amulet mould,1595,Used to make amulets.,f,2,40,5,3,Amulet mould.png
Amulet of accuracy,1478,It increases my aim.,f,40,5,100,60,Amulet of accuracy.png
Amulet of avarice,22557,A hauntingly beautiful amulet bearing the shape of a skull.,t,18000,8,45000,27000,Amulet of avarice.png
Amulet of bounty,21160,Saves seeds when planting in allotments.,t,360,10000,900,540,Amulet of bounty.png
Raw shark,383,I should try cooking this.,t,68,15000,170,102,Raw shark.png
Amulet of chemistry,21163,Useful when making potions - has the chance of giving an extra dose.,t,420,10000,1050,630,Amulet of chemistry.png
Amulet of defence,1729,An enchanted emerald amulet of protection.,f,510,125,1275,765,Amulet of defence.png
Amulet of defence (t),23309,An enchanted emerald amulet of protection that looks good.,f,510,4,1275,765,Amulet of defence (t).png
Amulet of eternal glory,19707,A dragonstone amulet with an unlimited supply of magic charges.,t,7050,5,17625,10575,Amulet of eternal glory.png
Amulet of fury,6585,A very powerful onyx amulet.,t,80800,8,202000,121200,Amulet of fury.png
Amulet of glory,1704,A very powerful dragonstone amulet.,t,7050,10000,17625,10575,Amulet of glory.png
Amulet of glory (t),10362,A very powerful dragonstone amulet.,t,7050,5,17625,10575,Amulet of glory (t).png
Amulet of glory (t4),10354,A very powerful dragonstone amulet.,t,7050,5,17625,10575,Amulet of glory (t4).png
Amulet of glory (t6),11964,A very powerful dragonstone amulet.,t,7050,5,17625,10575,Amulet of glory (t6).png
Amulet of glory(4),1712,A dragonstone amulet with 4 magic charges.,t,7050,10000,17625,10575,Amulet of glory(4).png
Amulet of glory(6),11978,A dragonstone amulet with 6 magic charges.,t,7050,10000,17625,10575,Amulet of glory(6).png
Amulet of magic,1727,An enchanted sapphire amulet of magic.,f,360,125,900,540,Amulet of magic.png
Amulet of magic (t),10366,An enchanted sapphire amulet of magic.,f,360,5,900,540,Amulet of magic (t).png
Amulet of power,1731,An enchanted diamond amulet of power.,f,1410,125,3525,2115,Amulet of power.png
Amulet of power (t),23354,An enchanted diamond amulet that looks good.,f,1610,5,4025,2415,Amulet of power (t).png
Amulet of strength,1725,An enchanted ruby amulet.,f,810,125,2025,1215,Amulet of strength.png
Amulet of the damned (full),12851,Heirloom of an ancient family of Morytania.,t,23200,8,58001,34800,Amulet of the damned (full).png
Amulet of torture,19553,A deep sense of torture burns within this powerful amulet.,t,80800,8,202000,121200,Amulet of torture.png
Amylase crystal,12640,Good for enhancing a super energy potion.,t,8,11000,20,12,Amylase crystal 5.png
Ancestral hat,21018,The hat of a powerful sorceress from a bygone era.,t,18000,8,45000,27000,Ancestral hat.png
Ancestral robe bottom,21024,The robe bottoms of a powerful sorceress from a bygone era.,t,32000,8,80000,48000,Ancestral robe bottom.png
Ancestral robe top,21021,The robe top of a powerful sorceress from a bygone era.,t,48000,8,120000,72000,Ancestral robe top.png
Ancestral robes set,21049,"A set containing an Ancestral hat, robe top and robe bottom.",t,58000,5,145000,87000,Ancestral robes set.png
Anchovies,319,Some nicely cooked anchovies.,f,6,15000,15,9,Anchovies.png
Anchovy pizza,2297,A pizza with anchovies.,f,24,10000,60,36,Anchovy pizza.png
Ancient blessing,20235,"The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of progress.",t,32,5,80,48,Ancient blessing.png
Ancient bracers,12490,Ancient blessed dragonhide vambraces.,t,1600,8,4000,2400,Ancient bracers.png
Ancient brew(1),26346,1 dose of Ancient brew.,t,50,2000,125,75,Ancient brew(1).png
Ancient brew(2),26344,2 doses of Ancient brew.,t,60,2000,150,90,Ancient brew(2).png
Ancient brew(3),26342,3 doses of Ancient brew.,t,70,2000,175,105,Ancient brew(3).png
Ancient brew(4),26340,4 doses of Ancient brew.,t,80,2000,200,120,Ancient brew(4).png
Ancient ceremonial boots,26229,Some ceremonial boots dedicated to an ancient god.,t,16000,8,40000,24000,Ancient ceremonial boots.png
Ancient ceremonial gloves,26227,Some ceremonial gloves dedicated to an ancient god.,t,16000,8,40000,24000,Ancient ceremonial gloves.png
Ancient ceremonial legs,26223,Some ceremonial robes dedicated to an ancient god.,t,32000,8,80000,48000,Ancient ceremonial legs.png
Ancient ceremonial mask,26225,A ceremonial mask dedicated to an ancient god.,t,20000,8,50000,30000,Ancient ceremonial mask.png
Ancient ceremonial top,26221,Some ceremonial robes dedicated to an ancient god.,t,40000,8,100000,60000,Ancient ceremonial top.png
Ancient chaps,12494,Ancient blessed dragonhide chaps.,t,2400,8,6000,3600,Ancient chaps.png
Ancient cloak,12197,An Ancient cloak.,t,800,8,2000,1200,Ancient cloak.png
Ancient coif,12496,Ancient blessed dragonhide coif.,t,800,8,2000,1200,Ancient coif.png
Ancient crozier,12199,An Ancient crozier.,t,2000,8,5000,3000,Ancient crozier.png
Ancient crystal,21804,An ancient crystal containing magical energy.,t,100000,250,250000,150000,Ancient crystal.png
Ancient d'hide body,12492,Ancient blessed dragonhide body armour.,t,5200,8,13000,7800,Ancient d'hide body.png
Ancient d'hide boots,19921,Ancient blessed dragonhide boots.,t,3720,8,9300,5580,Ancient d'hide boots.png
Ancient d'hide shield,23197,Ancient blessed wooden shield covered in dragon leather.,t,11333,8,28334,17000,Ancient d'hide shield.png
Ancient dragonhide set,13171,"A set containing an ancient dragonhide coif, body, chaps and bracers.",t,3800,8,9500,5700,Ancient dragonhide set.png
Ancient effigy,22302,"A mysterious artifact of ancient times, very precious to emblem traders.",t,3200000,250,8000000,4800000,Ancient effigy.png
Ancient emblem,21807,"A mysterious artifact of ancient times, of some value to emblem traders.",t,200000,250,500000,300000,Ancient emblem.png
Ancient essence,27616,Pure magical energy filled with a dark power.,t,1,300000,1,1,Ancient essence 500.png
Ancient full helm,12466,Rune full helmet in the colours of a long-forgotten god.,f,14080,8,35200,21120,Ancient full helm.png
Ancient godsword,26233,"A mysterious, heavy sword.",t,500000,,1250000,750000,Ancient godsword.png
Ancient hilt,26370,Brimming with potential.,t,200000,,500000,300000,Ancient hilt.png
Ancient kiteshield,12468,Rune kiteshield in the colours of a long-forgotten god.,f,21760,8,54400,32640,Ancient kiteshield.png
Ancient mace,11061,It has ancient goblin symbols on it.,t,400,8,1000,600,Ancient mace.png
Ancient medallion,22299,"A mysterious artifact of ancient times, precious to emblem traders.",t,1600000,250,4000000,2400000,Ancient medallion.png
Ancient mitre,12203,An Ancient mitre.,t,2000,8,5000,3000,Ancient mitre.png
Ancient mix(1),26353,One dose of fishy ancient brew.,t,50,,125,75,Ancient mix(1).png
Ancient mix(2),26350,Two doses of fishy ancient brew.,t,60,,150,90,Ancient mix(2).png
Ancient page 1,12621,This seems to have been torn from a book...,t,160,5,400,240,Ancient page 1.png
Ancient page 2,12622,This seems to have been torn from a book...,t,160,5,400,240,Ancient page 2.png
Ancient page 3,12623,This seems to have been torn from a book...,t,160,5,400,240,Ancient page 3.png
Ancient page 4,12624,This seems to have been torn from a book...,t,160,5,400,240,Ancient page 4.png
Ancient platebody,12460,Rune platebody in the colours of a long-forgotten god.,f,26000,8,65000,39000,Ancient platebody.png
Ancient platelegs,12462,Rune platelegs in the colours of a long-forgotten god.,f,25600,8,64000,38400,Ancient platelegs.png
Ancient plateskirt,12464,Rune plateskirt in the colours of a long-forgotten god.,f,25600,8,64000,38400,Ancient plateskirt.png
Ancient relic,22305,"A mysterious artifact of ancient times, emblem traders will pay you extremely handsomely for this.",t,6400000,250,16000000,9600000,Ancient relic.png
Ancient robe legs,12195,Leggings from the Ancient Vestments.,t,2800,8,7000,4200,Ancient robe legs.png
Ancient robe top,12193,Ancient Vestments.,t,2800,8,7000,4200,Ancient robe top.png
Ancient rune armour set (lg),13060,"A set containing a full helm, platebody, legs and kiteshield.",f,32000,8,80000,48000,Ancient rune armour set (lg).png
Ancient rune armour set (sk),13062,"A set containing a full helm, platebody, skirt and kiteshield.",f,32000,8,80000,48000,Ancient rune armour set (sk).png
Ancient staff,4675,A magical staff of ancient origin...,t,40000,70,100000,60000,Ancient staff.png
Ancient statuette,21813,"A mysterious artifact of ancient times, of substantial value to emblem traders.",t,800000,250,2000000,1200000,Ancient statuette.png
Ancient stole,12201,An Ancient stole.,t,1000,8,2500,1500,Ancient stole.png
Ancient totem,21810,"A mysterious artifact of ancient times, of reasonable value to emblem traders.",t,400000,250,1000000,600000,Ancient totem.png
Ancient wyvern shield,21634,A magical shield with a wyvern visage.,t,800000,8,2000000,1200000,Ancient wyvern shield (uncharged).png
Anglerfish,13441,I hope this tastes better than it looks.,t,180,10000,450,270,Anglerfish.png
Anguish ornament kit,22246,Use on a necklace of anguish to make it look fancier!,t,2000,4,5000,3000,Anguish ornament kit.png
Ankou gloves,20101,These gloves will make your flesh transparent.,t,1,4,1,1,Ankou gloves.png
Ankou mask,20095,This mask will make your flesh transparent.,t,1,4,1,1,Ankou mask.png
Ankou socks,20107,These socks will make your flesh transparent.,t,1,4,1,1,Ankou socks.png
